"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 19 09:17:27 UTC 2025","Sat Jul 19 09:17:30 UTC 2025","3240","Booking Suite","All Tests","ui.HomePageTest","ui.HomePageTest","contactFormTest","contactFormTest","Contact form validation"
"passed","Sat Jul 19 09:20:18 UTC 2025","Sat Jul 19 09:20:19 UTC 2025","401","Booking Suite","All Tests","api.BookingApiTest","api.BookingApiTest","apiBookingValidationTest","apiBookingValidationTest","Reservation form validation"
"failed","Sat Jul 19 09:20:38 UTC 2025","Sat Jul 19 09:20:38 UTC 2025","381","Booking Suite","All Tests","api.BookingApiTest","api.BookingApiTest","sqlInjectionBookingFormTest","sqlInjectionBookingFormTest","BUG: API should not accept dangerous payloads in firstname"
"failed","Sat Jul 19 09:20:34 UTC 2025","Sat Jul 19 09:20:35 UTC 2025","355","Booking Suite","All Tests","api.BookingApiTest","api.BookingApiTest","sqlInjectionBookingFormTest","sqlInjectionBookingFormTest","BUG: API should not accept dangerous payloads in firstname"
"passed","Sat Jul 19 09:20:25 UTC 2025","Sat Jul 19 09:20:26 UTC 2025","199","Booking Suite","All Tests","api.BookingApiTest","api.BookingApiTest","specialCharactersInNamesTest","specialCharactersInNamesTest",""
"passed","Sat Jul 19 09:20:31 UTC 2025","Sat Jul 19 09:20:31 UTC 2025","318","Booking Suite","All Tests","api.BookingApiTest","api.BookingApiTest","sqlInjectionBookingFormTest","sqlInjectionBookingFormTest","BUG: API should not accept dangerous payloads in firstname"
"passed","Sat Jul 19 09:20:21 UTC 2025","Sat Jul 19 09:20:21 UTC 2025","368","Booking Suite","All Tests","api.BookingApiTest","api.BookingApiTest","apiBookingValidationTest","apiBookingValidationTest","Reservation form validation"
"passed","Sat Jul 19 09:20:27 UTC 2025","Sat Jul 19 09:20:28 UTC 2025","347","Booking Suite","All Tests","api.BookingApiTest","api.BookingApiTest","sqlInjectionBookingFormTest","sqlInjectionBookingFormTest","BUG: API should not accept dangerous payloads in firstname"
"failed","Sat Jul 19 09:20:01 UTC 2025","Sat Jul 19 09:20:10 UTC 2025","9080","Booking Suite","All Tests","ui.BookingPageTest","ui.BookingPageTest","bookingFormTest","bookingFormTest","Reservation form validation"
"failed","Sat Jul 19 09:19:26 UTC 2025","Sat Jul 19 09:19:33 UTC 2025","6391","Booking Suite","All Tests","ui.HomePageTest","ui.HomePageTest","invalidBookingDatesShouldDisableBooking","invalidBookingDatesShouldDisableBooking","BUG: Form submits with invalid Check In/Out dates"
"failed","Sat Jul 19 09:19:05 UTC 2025","Sat Jul 19 09:19:11 UTC 2025","6360","Booking Suite","All Tests","ui.HomePageTest","ui.HomePageTest","invalidBookingDatesShouldDisableBooking","invalidBookingDatesShouldDisableBooking","BUG: Form submits with invalid Check In/Out dates"
"passed","Sat Jul 19 09:17:20 UTC 2025","Sat Jul 19 09:17:20 UTC 2025","358","Booking Suite","All Tests","api.AuthApiTest","api.AuthApiTest","invalidCredentialsTest","invalidCredentialsTest","Invalid credentials should fail"
"passed","Sat Jul 19 09:19:35 UTC 2025","Sat Jul 19 09:19:36 UTC 2025","738","Booking Suite","All Tests","ui.HomePageTest","ui.HomePageTest","sectionTitlesTest","sectionTitlesTest","Verify All Section Titles"
"passed","Sat Jul 19 09:17:19 UTC 2025","Sat Jul 19 09:17:20 UTC 2025","435","Booking Suite","All Tests","api.AuthApiTest","api.AuthApiTest","invalidCredentialsTest","invalidCredentialsTest","Invalid credentials should fail"
"passed","Sat Jul 19 09:17:21 UTC 2025","Sat Jul 19 09:17:21 UTC 2025","358","Booking Suite","All Tests","api.AuthApiTest","api.AuthApiTest","tokenValidationTest","tokenValidationTest","Token validation should work correctly"
"passed","Sat Jul 19 09:18:04 UTC 2025","Sat Jul 19 09:18:07 UTC 2025","2778","Booking Suite","All Tests","ui.HomePageTest","ui.HomePageTest","contactFormTest","contactFormTest","Contact form validation"
"passed","Sat Jul 19 09:20:19 UTC 2025","Sat Jul 19 09:20:19 UTC 2025","402","Booking Suite","All Tests","api.BookingApiTest","api.BookingApiTest","apiBookingValidationTest","apiBookingValidationTest","Reservation form validation"
"failed","Sat Jul 19 09:20:32 UTC 2025","Sat Jul 19 09:20:33 UTC 2025","360","Booking Suite","All Tests","api.BookingApiTest","api.BookingApiTest","sqlInjectionBookingFormTest","sqlInjectionBookingFormTest","BUG: API should not accept dangerous payloads in firstname"
